,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
405,Kiphire,25.81551155,94.84166400470303,10,26,0,16
406,Kohima,25.75,94.166667,305,2536,2,2215
407,Longleng,26.49031725,94.77214247303138,0,18,0,11
408,Mokokchung,26.4795861,94.51052754768273,49,108,1,57
409,Mon,26.8038,94.9767,68,503,2,425
410,Peren,25.47907705,93.72563659313207,19,385,0,366
411,Phek,25.75,94.5,0,37,0,37
412,Tuensang,26.168505500000002,94.85819821659115,20,152,0,132
413,Wokha,26.166667,94.25,1,38,1,36
414,Zunheboto,26.0,94.5,13,138,0,122
415,State Pool,42.56134215,-71.78221147945357,449,7338,0,6889
416,Angul,20.8382426,85.0973949,900,7741,19,6822
417,Balangir,20.75,83.25,657,6472,30,5785
418,Balasore,21.5002888,86.9202627,676,9960,71,9213
419,Bargarh,21.3474637,83.65427922282043,530,8457,19,7908
420,Bhadrak,21.0633288,86.5053731,372,6616,23,6221
421,Boudh,20.8415619,84.3213321,196,2521,9,2316
422,Cuttack,20.4686,85.8792,1300,25447,109,24038
423,Deogarh,21.5370786,84.7301184,83,1013,1,929
424,Dhenkanal,20.75,85.5,370,4965,18,4577
425,Gajapati,19.19557415,84.19297736346317,51,3827,30,3746
426,Ganjam,19.4129711,85.04710406447731,163,21074,235,20676
427,Jagatsinghpur,20.2593872,86.1660878,758,7228,21,6449
428,Jajpur,20.8522696,86.3385714,602,10680,20,10058
429,Jharsuguda,21.87705125,84.00905063735019,251,6215,11,5953
430,Kalahandi,19.75,83.0,497,4957,20,4440
431,Kandhamal,20.13069385,84.07904760590154,199,5585,29,5357
432,Kendrapara,20.50040085,86.43170622796478,668,7339,20,6651
433,Kendujhar,21.5892323,85.66878413736906,487,6107,20,5600
434,Khordha,20.22564715,85.56059465125232,2106,47857,229,45522
435,Koraput,18.7232023,82.60811827787269,398,7250,13,6839
436,Malkangiri,18.35835435,81.89823748747048,302,4736,19,4415
437,Mayurbhanj,21.75,86.5,876,11018,60,10082
438,Nabarangapur,19.60962325,82.29876854111501,417,5138,13,4708
439,Nayagarh,20.1160666,85.11195643843573,319,5856,39,5498
440,Nuapada,20.769099750000002,82.51862845874122,596,5383,10,4777
441,Puri,19.8076083,85.8252538,546,12279,85,11648
442,Rayagada,18.965998550000002,84.19287455014992,119,8035,40,7876
443,Sambalpur,21.4,83.883333,385,7857,31,7441
